case_id,ai_root_cause,expected_fault,reviewer_decision,corrected_diagnosis,reviewer_notes,reviewer_name,review_date
VLAN-001,"PC3 in Accounting is connected to Fa0/5, which is incorrectly assigned to VLAN 30 (Marketing), preventing it from communicating with the file server in VLAN 20 (Accounting)","Port Fa0/5 is assigned to VLAN 30 (Marketing) instead of VLAN 20 (Accounting), so PC3 is in the wrong broadcast domain and cannot reach VLAN 20 resources.",Accepted,,,Tharun,2026-08-14
VLAN-002,"Native VLAN mismatch between SW1 and SW2 on the trunk link, causing intermittent drops of management VLAN frames and CDP errors",Native VLAN mismatch on the trunk link between SW1 (native VLAN 1) and SW2 (native VLAN 99) causes untagged frames to be mishandled and management traffic to be dropped.,Accepted,,,Tharun,2026-08-14
VLAN-003,"VLAN 50 (Engineering) is not allowed on the trunk between SW1 and SW2, preventing PCs in VLAN 50 on SW2 from reaching the file server in VLAN 50 on SW1","VLAN 50 is not in the allowed VLAN list on the trunk port Gi0/1 (only VLANs 1, 10, 20 are allowed), so VLAN 50 traffic cannot cross between SW1 and SW2.",Accepted,,,Tharun,2026-08-14
VLAN-004,"VLAN 40 is not configured on SW2, despite Fa0/10 being assigned to it, causing the port to not forward traffic and the PC to receive an APIPA address","VLAN 40 has not been created on SW2 (it does not appear in show vlan brief), so the port is assigned to a non-existent VLAN and all traffic is dropped.",Accepted,,,Tharun,2026-08-14
VLAN-005,"The interface Fa0/12 on SW1 is configured as a trunk port, but it should be an access port in VLAN 10 to allow the PC to get a DHCP address and have connectivity",Port Fa0/12 is configured as a trunk port instead of an access port in VLAN 10. The PC cannot interpret 802.1Q-tagged frames and fails to communicate. The ACL on R1 is a red herring — it correctly permits VLAN 10 traffic.,Edited,VLAN 20 is not assigned to interface Fa0/2.,"AI identified the issue as routing, but it was just a missing switchport access vlan command.",Tharun,2026-08-14
GW-001,"PC1's default gateway is incorrectly configured as 10.10.10.2 instead of the expected 10.10.10.1, which is the IP address of R1's Gi0/0.10 interface",PC1's default gateway is manually set to 10.10.10.2 which does not exist; the correct gateway address is 10.10.10.1 (R1's Gi0/0.10 subinterface).,Accepted,,,Tharun,2026-08-14
GW-002,"The Gi0/0.10 subinterface serving VLAN 10 is administratively down, preventing PCs on VLAN 10 from reaching other VLANs or the internet","Router subinterface Gi0/0.10 is administratively down (shutdown), so R1 cannot serve as the gateway for VLAN 10. VLAN 20 works because Gi0/0.20 is up/up.",Accepted,,,Tharun,2026-08-14
GW-003,"The subnet mask configured on the VLAN 20 gateway (R1 Gi0/0.20) is incorrect, causing PCs with IPs above 10.10.20.15 to be on a different subnet and unable to reach the gateway","R1's Gi0/0.20 subinterface is configured with a /28 subnet mask (255.255.255.240) instead of /24 (255.255.255.0), so only hosts in the 10.10.20.0-10.10.20.15 range are considered local; hosts above .15 are unreachable from the gateway.",Accepted,,,Tharun,2026-08-14
GW-004,The SVI for VLAN 30 has an incorrect IP address (10.10.30.2) which does not match the expected gateway IP (10.10.30.1) for PCs in VLAN 30,The SVI for VLAN 30 has IP address 10.10.30.2 but the PCs are configured with default gateway 10.10.30.1. No device owns 10.10.30.1 so the gateway is unreachable.,Accepted,,,Tharun,2026-08-14
GW-005,"IP routing is disabled on MLS1, preventing it from routing traffic between VLANs 10 and 20","The 'ip routing' command has not been enabled on the L3 switch (show run confirms 'no ip routing'). Without it, the switch cannot route between VLANs even though both SVIs are up. The pruned VLAN 30 on the trunk is a red herring — it is irrelevant to the inter-VLAN routing failure.",Rejected,"Default gateway is configured correctly on the PC, but the switch SVI is down.","AI blamed the gateway IP itself, but the gateway interface is administratively down.",Tharun,2026-08-14
DHCP-001,"DHCP pool for VLAN10-POOL is exhausted, with all 30 available addresses leased, causing new devices to receive APIPA addresses and preventing existing devices from renewing their leases",DHCP pool for VLAN 10 is completely exhausted — all 30 addresses in the /27 scope are leased. New clients receive no offer and fall back to APIPA. The pool should be expanded to a /24 to accommodate all hosts.,Accepted,,,Tharun,2026-08-14
DHCP-002,"The DHCP pool VLAN10-POOL is configured with the wrong subnet (10.10.20.0/24) instead of the intended VLAN 10 subnet (10.10.10.0/24), causing PCs to receive incorrect IP addresses",DHCP pool VLAN10-POOL is configured with the wrong network statement — 10.10.20.0/24 instead of 10.10.10.0/24. Clients receive addresses from the wrong subnet and cannot communicate on their actual VLAN.,Accepted,,,Tharun,2026-08-14
DHCP-003,"Missing ip helper-address on MLS1's VLAN 40 SVI, preventing DHCP requests from VLAN 40 PCs from being forwarded to R1",The ip helper-address command is missing on MLS1's SVI Vlan40 interface. DHCP broadcast DISCOVERs from VLAN 40 clients are not relayed to the DHCP server (R1) on the remote subnet. VLAN 10 works because it is on the same subnet as R1.,Accepted,,,Tharun,2026-08-14
DHCP-004,"DHCP excluded-address range 10.10.10.1–10.10.10.250 is overly broad, leaving only 4 usable addresses (.251–.254); the pool's 'Total addresses: 254' is misleading because the exclusion negates nearly all of them","The DHCP excluded-address range 10.10.10.1 through 10.10.10.250 is overly broad, leaving only 4 usable addresses (.251-.254). The pool's total of 254 addresses is a red herring — the exclusion negates nearly all of them.",Edited,"DHCP pool is exhausted because of excluded addresses, not total size.","AI said the pool was large enough, completely missing the ip dhcp excluded-address range.",Tharun,2026-08-14
DHCP-005,"The default-router IP address configured in the DHCP pool (10.10.10.254) does not match the IP address of the gateway interface (10.10.10.1) on R1, causing PCs to use an incorrect gateway IP",DHCP pool default-router is set to 10.10.10.254 (no device exists at that address) instead of 10.10.10.1 (R1's actual gateway interface). PCs receive the wrong gateway via DHCP and cannot route off-subnet.,Accepted,,,Tharun,2026-08-14
DNS-001,"The DNS server IP address pushed by DHCP (10.10.10.50) does not match the actual DNS server IP address (10.10.10.5), causing DNS resolution failures",DHCP pool distributes the wrong DNS server address — 10.10.10.50 (non-existent) instead of 10.10.10.5 (the actual DNS server). Clients send DNS queries to a host that does not exist.,Accepted,,,Tharun,2026-08-14
DNS-002,"ACL 120 on R1's Gi0/0.10 sub-interface blocks incoming UDP DNS requests (deny udp any any eq 53), preventing PCs from resolving names despite having the correct DNS server IP","ACL 120 on R1 Gi0/0.10 explicitly denies UDP port 53 (line 40) before the permit-all on line 50, blocking DNS query traffic. The DHCP dns-server configuration is correct — a red herring that makes it appear the DNS setup is fine.",Rejected,DNS server address provided via DHCP is incorrect.,"AI said DNS was reachable, but the IP handed out to clients is wrong.",Tharun,2026-08-14
DNS-003,"DHCP server is not providing DNS server information to clients, resulting in failed name resolution","The DHCP pool is missing the dns-server option entirely. PCs receive an IP and gateway via DHCP but no DNS server address, so all name resolution fails.",Accepted,,,Tharun,2026-08-14
DNS-004,"The DNS server (10.10.10.5) has an incomplete ARP entry on R1, indicating that R1 has not received an ARP response from the DNS server, likely due to the DNS server not sending ARP replies or a Layer 2 issue",The DNS server at 10.10.10.5 is powered off or its NIC is disconnected — ARP resolution for 10.10.10.5 shows 'Incomplete' on R1. The switch port being up/connected is a red herring (the port may be connected but the server's NIC or OS is not responding).,Rejected,Host has no route to the external DNS server.,AI focused on DNS server availability instead of basic reachability/routing.,Tharun,2026-08-14
RT-001,"The static route on R1 to the server farm (10.10.30.0/24) via R2 (10.10.99.2) may be incorrect or incomplete, as PCs on VLAN 10 can reach VLAN 20 but not the server farm, and traceroute stops at R1","R1 has a static route to 10.10.30.0/24 via R2, but R2 has no return route to 10.10.10.0/24 or 10.10.20.0/24. Packets reach the server farm but replies are dropped by R2 because it has no route back.",Accepted,,,Tharun,2026-08-14
RT-002,Incorrect next-hop IP in the static route to 192.168.1.0/24 — the IP 10.10.99.5 does not match the IP of R2's S0/0/0 interface (10.10.99.2),"Static route to 192.168.1.0/24 on R1 points to next-hop 10.10.99.5, which does not exist on the serial link (the valid peer is 10.10.99.2). The link being up is confirmed but the next-hop is unreachable.",Accepted,,,Tharun,2026-08-14
