case_id,title,category,topology_image,packet_tracer_file,expected_fix,verification_commands,expected_verification_result,lab_status
VLAN-001,,VLAN,,labs/VLAN/VLAN-001/VLAN-001.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
VLAN-002,,VLAN,,labs/VLAN/VLAN-002/VLAN-002.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
VLAN-003,,VLAN,,labs/VLAN/VLAN-003/VLAN-003.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
VLAN-004,,VLAN,,labs/VLAN/VLAN-004/VLAN-004.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
VLAN-005,,VLAN,,labs/VLAN/VLAN-005/VLAN-005.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
GW-001,,GATEWAY,,labs/GATEWAY/GW-001/GW-001.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
GW-002,,GATEWAY,,labs/GATEWAY/GW-002/GW-002.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
GW-003,,GATEWAY,,labs/GATEWAY/GW-003/GW-003.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
GW-004,,GATEWAY,,labs/GATEWAY/GW-004/GW-004.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
GW-005,,GATEWAY,,labs/GATEWAY/GW-005/GW-005.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
DHCP-001,,DHCP,,labs/DHCP/DHCP-001/DHCP-001.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
DHCP-002,,DHCP,,labs/DHCP/DHCP-002/DHCP-002.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
DHCP-003,,DHCP,,labs/DHCP/DHCP-003/DHCP-003.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
DHCP-004,,DHCP,,labs/DHCP/DHCP-004/DHCP-004.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
DHCP-005,,DHCP,,labs/DHCP/DHCP-005/DHCP-005.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
DNS-001,,DNS,,labs/DNS/DNS-001/DNS-001.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
DNS-002,,DNS,,labs/DNS/DNS-002/DNS-002.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
DNS-003,,DNS,,labs/DNS/DNS-003/DNS-003.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
DNS-004,,DNS,,labs/DNS/DNS-004/DNS-004.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
RT-001,,ROUTING,,labs/ROUTING/RT-001/RT-001.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
RT-002,,ROUTING,,labs/ROUTING/RT-002/RT-002.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
RT-003,,ROUTING,,labs/ROUTING/RT-003/RT-003.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
RT-004,,ROUTING,,labs/ROUTING/RT-004/RT-004.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
RT-005,,ROUTING,,labs/ROUTING/RT-005/RT-005.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
ACL-001,,ACL,,labs/ACL/ACL-001/ACL-001.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
ACL-002,,ACL,,labs/ACL/ACL-002/ACL-002.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
ACL-003,,ACL,,labs/ACL/ACL-003/ACL-003.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
ACL-004,,ACL,,labs/ACL/ACL-004/ACL-004.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
ACL-005,,ACL,,labs/ACL/ACL-005/ACL-005.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
NAT-001,,NAT,,labs/NAT/NAT-001/NAT-001.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
NAT-002,,NAT,,labs/NAT/NAT-002/NAT-002.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
NAT-003,,NAT,,labs/NAT/NAT-003/NAT-003.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
NAT-004,,NAT,,labs/NAT/NAT-004/NAT-004.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
WL-001,,WIRELESS,,labs/WIRELESS/WL-001/WL-001.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
WL-002,,WIRELESS,,labs/WIRELESS/WL-002/WL-002.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
WL-003,,WIRELESS,,labs/WIRELESS/WL-003/WL-003.pkt,[],[],NOT VERIFIED - requires Packet Tracer,REQUIRES PACKET TRACER
