case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
VLAN-001,"PC3 in Accounting (Fa0/5 on SW1) cannot reach the file server on Fa0/20; all other Accounting PCs on the same switch communicate normally.","SW1 is a Cisco 2960 with VLAN 20 (Accounting, 10.10.20.0/24) and VLAN 30 (Marketing, 10.10.30.0/24). File server is on Fa0/20 in VLAN 20. PC3 is on Fa0/5.","SW1# show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/22, Fa0/23, Fa0/24
20   Accounting                       active    Fa0/1, Fa0/2, Fa0/3, Fa0/4,
                                                Fa0/20
30   Marketing                        active    Fa0/5, Fa0/6, Fa0/7, Fa0/8
99   Management                       active
1002 fddi-default                     act/unsup
1003 token-ring-default               act/unsup

SW1# show interfaces Fa0/5 switchport
Name: Fa0/5
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Trunking Encapsulation: dot1q
Negotiation of Trunking: Off
Access Mode VLAN: 30 (Marketing)
Trunking Native Mode VLAN: 1 (default)
Voice VLAN: none","Port Fa0/5 is assigned to VLAN 30 (Marketing) instead of VLAN 20 (Accounting), so PC3 is in the wrong broadcast domain and cannot reach VLAN 20 resources.","Layer 2 - Data Link",VLAN misconfiguration,Medium
VLAN-002,"All inter-VLAN traffic between SW1 and SW2 works for VLANs 10 and 20, but CDP errors appear in logs and management VLAN frames on the native VLAN are dropped intermittently between the two switches.","SW1 (Gi0/1 trunk) connected to SW2 (Gi0/1 trunk). VLANs 1, 10, 20 are in use. SW1 is configured with native VLAN 1; SW2 was recently reconfigured.","SW1# show interfaces trunk

Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1-4094

Port        Vlans allowed and active in management domain
Gi0/1       1,10,20

Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       1,10,20

SW2# show interfaces trunk

Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      99

Port        Vlans allowed on trunk
Gi0/1       1-4094

Port        Vlans allowed and active in management domain
Gi0/1       1,10,20,99

Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       1,10,20,99

%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1) with SW1 GigabitEthernet0/1 (99).","Native VLAN mismatch on the trunk link between SW1 (native VLAN 1) and SW2 (native VLAN 99) causes untagged frames to be mishandled and management traffic to be dropped.","Layer 2 - Data Link",VLAN misconfiguration,High
VLAN-003,"PCs in VLAN 50 (Engineering) on SW2 cannot reach the Engineering file server in VLAN 50 on SW1, but PCs in VLAN 10 and 20 on SW2 reach their servers on SW1 without issues.","SW1 trunk Gi0/1 to SW2 trunk Gi0/1. VLAN 50 (Engineering, 10.10.50.0/24) was recently added. File server on SW1 Fa0/15 in VLAN 50.","SW1# show interfaces Gi0/1 trunk

Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1,10,20

Port        Vlans allowed and active in management domain
Gi0/1       1,10,20

Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       1,10,20

SW1# show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/22, Fa0/23, Fa0/24
10   Sales                            active    Fa0/1, Fa0/2, Fa0/3
20   HR                               active    Fa0/6, Fa0/7, Fa0/8
50   Engineering                      active    Fa0/15, Fa0/16
1002 fddi-default                     act/unsup","VLAN 50 is not in the allowed VLAN list on the trunk port Gi0/1 (only VLANs 1, 10, 20 are allowed), so VLAN 50 traffic cannot cross between SW1 and SW2.","Layer 2 - Data Link",VLAN misconfiguration,High
VLAN-004,"PC on Fa0/10 of SW2 has no network connectivity at all — link light is green, PC shows 'cable connected' but gets an APIPA address.","SW2 is a 2960 switch. Fa0/10 was supposed to be in VLAN 40 (Guest, 10.10.40.0/24). Router-on-a-stick R1 provides inter-VLAN routing on Gi0/0 subinterfaces.","SW2# show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/22, Fa0/23, Fa0/24
10   Sales                            active    Fa0/1, Fa0/2, Fa0/3
20   HR                               active    Fa0/6, Fa0/7, Fa0/8
1002 fddi-default                     act/unsup
1003 token-ring-default               act/unsup

SW2# show interfaces Fa0/10 switchport
Name: Fa0/10
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Trunking Encapsulation: dot1q
Access Mode VLAN: 40 (!)
Trunking Native Mode VLAN: 1 (default)

SW2# show interfaces Fa0/10 status
Port      Name    Status       Vlan       Duplex  Speed Type
Fa0/10            connected    40         a-full  a-100 10/100BaseTX","VLAN 40 has not been created on SW2 (it does not appear in show vlan brief), so the port is assigned to a non-existent VLAN and all traffic is dropped.","Layer 2 - Data Link",VLAN misconfiguration,High
VLAN-005,"PC on Fa0/12 of SW1 cannot get a DHCP address and has no connectivity. The link LED is solid green. Other PCs on VLAN 10 work fine. [RED HERRING: an ACL is present on R1 but permits the relevant traffic.]","SW1 Fa0/12 connects a new PC for the Sales team (VLAN 10). R1 performs router-on-a-stick routing. An inbound ACL 110 exists on R1's Gi0/0.10 subinterface.","SW1# show interfaces Fa0/12 switchport
Name: Fa0/12
Switchport: Enabled
Administrative Mode: trunk
Operational Mode: trunk
Administrative Trunking Encapsulation: dot1q
Negotiation of Trunking: On
Trunking Native Mode VLAN: 1 (default)
Trunking VLANs Enabled: ALL

SW1# show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/22, Fa0/23, Fa0/24
10   Sales                            active    Fa0/1, Fa0/2, Fa0/3
20   HR                               active    Fa0/6, Fa0/7, Fa0/8
1002 fddi-default                     act/unsup

R1# show access-lists
Extended IP access list 110
    10 permit ip 10.10.10.0 0.0.0.255 any (385 matches)
    20 permit ip any 10.10.10.0 0.0.0.255 (220 matches)
    30 deny   ip any any","Port Fa0/12 is configured as a trunk port instead of an access port in VLAN 10. The PC cannot interpret 802.1Q-tagged frames and fails to communicate. The ACL on R1 is a red herring — it correctly permits VLAN 10 traffic.","Layer 2 - Data Link",VLAN misconfiguration,Medium
GW-001,"PC1 (10.10.10.50/24) can ping PC2 (10.10.10.51/24) on the same subnet but cannot reach the server at 10.10.30.5 or any remote network. Gateway ping from the PC fails.","R1 Gi0/0.10 is the default gateway for VLAN 10 (10.10.10.0/24) at 10.10.10.1. SW1 connects PCs. PC1 was manually configured.","R1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         unassigned      YES unset  up                    up
GigabitEthernet0/0.10      10.10.10.1      YES manual up                    up
GigabitEthernet0/0.20      10.10.20.1      YES manual up                    up
GigabitEthernet0/0.30      10.10.30.1      YES manual up                    up
Serial0/0/0                209.165.200.225 YES manual up                    up

C:\> ipconfig
Ethernet adapter Ethernet0:
   IPv4 Address. . . . . . . . . : 10.10.10.50
   Subnet Mask . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . : 10.10.10.2","PC1's default gateway is manually set to 10.10.10.2 which does not exist; the correct gateway address is 10.10.10.1 (R1's Gi0/0.10 subinterface).","Layer 3 - Network",Default gateway issues,Medium
GW-002,"All PCs on VLAN 10 (10.10.10.0/24) can ping each other but cannot reach VLAN 20 or the internet. PCs on VLAN 20 can reach the internet fine.","R1 provides router-on-a-stick routing via Gi0/0 subinterfaces. Gi0/0.10 serves VLAN 10 and Gi0/0.20 serves VLAN 20. Trunk link from SW1 Gi0/1 to R1 Gi0/0.","R1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         unassigned      YES unset  up                    up
GigabitEthernet0/0.10      10.10.10.1      YES manual administratively down down
GigabitEthernet0/0.20      10.10.20.1      YES manual up                    up
Serial0/0/0                209.165.200.225 YES manual up                    up

R1# show interfaces GigabitEthernet0/0.10
GigabitEthernet0/0.10 is administratively down, line protocol is down
  Hardware is iGbE, address is 0019.aa6b.3401
  Internet address is 10.10.10.1/24
  Encapsulation 802.1Q Virtual LAN, Vlan ID  10.","Router subinterface Gi0/0.10 is administratively down (shutdown), so R1 cannot serve as the gateway for VLAN 10. VLAN 20 works because Gi0/0.20 is up/up.","Layer 3 - Network",Default gateway issues,High
GW-003,"PCs with IPs 10.10.20.1 through 10.10.20.14 can ping the gateway and reach remote networks. PCs with IPs above 10.10.20.15 (e.g. 10.10.20.20, .50, .100) can ping each other but cannot ping the gateway 10.10.20.1.","R1 Gi0/0.20 is the VLAN 20 gateway. VLAN 20 uses 10.10.20.0/24. About 30 PCs are in this VLAN.","R1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         unassigned      YES unset  up                    up
GigabitEthernet0/0.10      10.10.10.1      YES manual up                    up
GigabitEthernet0/0.20      10.10.20.1      YES manual up                    up
GigabitEthernet0/0.30      10.10.30.1      YES manual up                    up

R1# show running-config interface GigabitEthernet0/0.20
interface GigabitEthernet0/0.20
 encapsulation dot1Q 20
 ip address 10.10.20.1 255.255.255.240","R1's Gi0/0.20 subinterface is configured with a /28 subnet mask (255.255.255.240) instead of /24 (255.255.255.0), so only hosts in the 10.10.20.0-10.10.20.15 range are considered local; hosts above .15 are unreachable from the gateway.","Layer 3 - Network",Default gateway issues,High
GW-004,"PCs in VLAN 30 (10.10.30.0/24) have IP addresses and the correct gateway 10.10.30.1 configured, but cannot ping the gateway or reach any remote network. PCs in VLAN 10 and 20 work perfectly on the same L3 switch.","MLS1 is a Layer 3 switch (3560) with SVIs for VLANs 10, 20, and 30. VLAN 30 ports are on Fa0/15-Fa0/18. ip routing is enabled.","MLS1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
Vlan10                     10.10.10.1      YES manual up                    up
Vlan20                     10.10.20.1      YES manual up                    up
Vlan30                     10.10.30.2      YES manual up                    up
FastEthernet0/15           unassigned      YES unset  up                    up
FastEthernet0/16           unassigned      YES unset  up                    up
FastEthernet0/17           unassigned      YES unset  up                    up
FastEthernet0/18           unassigned      YES unset  up                    up

MLS1# show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
10   Sales                            active    Fa0/1, Fa0/2, Fa0/3
20   HR                               active    Fa0/6, Fa0/7, Fa0/8
30   Engineering                      active    Fa0/15, Fa0/16, Fa0/17, Fa0/18","The SVI for VLAN 30 has IP address 10.10.30.2 but the PCs are configured with default gateway 10.10.30.1. No device owns 10.10.30.1 so the gateway is unreachable.","Layer 3 - Network",Default gateway issues,High
GW-005,"PCs in VLAN 10 can ping their gateway (10.10.10.1) and PCs in VLAN 20 can ping their gateway (10.10.20.1), but no PC in VLAN 10 can reach VLAN 20 and vice versa. Both SVIs are up/up. [RED HERRING: A trunk link shows some pruned VLANs that are unrelated.]","MLS1 is a 3560 L3 switch. SVI VLAN 10 = 10.10.10.1/24, SVI VLAN 20 = 10.10.20.1/24. Trunk Gi0/1 connects to an access switch SW2.","MLS1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
Vlan10                     10.10.10.1      YES manual up                    up
Vlan20                     10.10.20.1      YES manual up                    up
GigabitEthernet0/1         unassigned      YES unset  up                    up

MLS1# show ip route
Codes: C - connected, S - static, I - IGRP, R - RIP, M - mobile, B - BGP
       O - OSPF, P - IS-IS, E - EGP
Gateway of last resort is not set

     10.0.0.0/24 is subnetted, 2 subnets
C       10.10.10.0 is directly connected, Vlan10
C       10.10.20.0 is directly connected, Vlan20

MLS1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1,10,20,30

Port        Vlans allowed and active in management domain
Gi0/1       1,10,20

Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       1,10,20

MLS1# show running-config | include ip routing
no ip routing","The 'ip routing' command has not been enabled on the L3 switch (show run confirms 'no ip routing'). Without it, the switch cannot route between VLANs even though both SVIs are up. The pruned VLAN 30 on the trunk is a red herring — it is irrelevant to the inter-VLAN routing failure.","Layer 3 - Network",Default gateway issues,Critical
