case_id,ai_root_cause,ai_confidence,ai_evidence,ai_next_command,ai_fix_steps,rule_checker_findings,matches_expected,notes
VLAN-001,"PC3 in Accounting is connected to Fa0/5, which is incorrectly assigned to VLAN 30 (Marketing), preventing it from communicating with the file server in VLAN 20 (Accounting)",high,"show interfaces Fa0/5 switchport indicates 'Access Mode VLAN: 30 (Marketing)', and show vlan brief confirms Fa0/5 is in VLAN 30, not VLAN 20 where the file server and other Accounting PCs reside",show running-config interface Fa0/5,"[""Change the VLAN assignment of Fa0/5 to VLAN 20: switchport access vlan 20"", ""Verify the change: show interfaces Fa0/5 switchport"", ""Ensure PC3 can now reach the file server: ping from PC3 to the file server's IP"", ""If necessary, restart PC3 or release/renew its DHCP lease to ensure it gets an IP in the correct subnet (10.10.20.0/24)""]",(none),True,Keyword recall 53%
VLAN-002,"Native VLAN mismatch between SW1 and SW2 on the trunk link, causing intermittent drops of management VLAN frames and CDP errors",high,"SW1 and SW2 show interfaces trunk output reveals a native VLAN mismatch: SW1 has native VLAN 1, while SW2 has native VLAN 99. The CDP error log '%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1) with SW1 GigabitEthernet0/1 (99)' confirms this mismatch.",show cdp neighbors detail,"[""On SW2, change the native VLAN on Gi0/1 to match SW1: switchport trunk native vlan 1"", ""Verify the change: show interfaces trunk on both SW1 and SW2 to confirm native VLANs match"", ""Clear CDP table: clear cdp table"", ""Wait for CDP to re-establish and verify no further native VLAN mismatch errors appear in logs""]",(none),True,Keyword recall 59%
VLAN-003,"VLAN 50 (Engineering) is not allowed on the trunk between SW1 and SW2, preventing PCs in VLAN 50 on SW2 from reaching the file server in VLAN 50 on SW1",high,"SW1# show interfaces Gi0/1 trunk output shows 'Vlans allowed on trunk: 1,10,20' and 'Vlans allowed and active in management domain: 1,10,20', but VLAN 50 is not listed. SW1# show vlan brief confirms VLAN 50 exists and is active on Fa0/15 and Fa0/16.",SW1# show interfaces Gi0/1 switchport,"[""On SW1, configure the trunk to allow VLAN 50: interface Gi0/1 \u2192 switchport trunk allowed vlan add 50"", ""Verify the change: SW1# show interfaces Gi0/1 trunk"", ""Repeat the process on SW2 if necessary, ensuring VLAN 50 is allowed on its trunk Gi0/1"", ""Test connectivity from PCs in VLAN 50 on SW2 to the file server in VLAN 50 on SW1""]",(none),False,"Low keyword recall (39%): missing ['1', '10', '20', 'cannot', 'cross', 'gi0', 'list', 'only']"
VLAN-004,"VLAN 40 is not configured on SW2, despite Fa0/10 being assigned to it, causing the port to not forward traffic and the PC to receive an APIPA address",high,"show vlan brief does not list VLAN 40, but show interfaces Fa0/10 switchport and show interfaces Fa0/10 status both indicate Fa0/10 is supposed to be in VLAN 40",show running-config | include vlan 40,"[""Create VLAN 40 on SW2: vlan 40"", ""Name the VLAN for clarity: name Guest"", ""Exit VLAN configuration mode: exit"", ""Assign Fa0/10 to VLAN 40: interface Fa0/10 \u2192 switchport access vlan 40"", ""Save the changes: write memory"", ""Verify with: show vlan brief \u2014 VLAN 40 should now be listed""]","[missing_vlan|High] VLAN 40 expected by topology but not found in show vlan brief (present: [1, 10, 20, 1002, 1003])",True,Keyword recall 43%
VLAN-005,"The interface Fa0/12 on SW1 is configured as a trunk port, but it should be an access port in VLAN 10 to allow the PC to get a DHCP address and have connectivity",high,"SW1 show interfaces Fa0/12 switchport output shows 'Administrative Mode: trunk' and 'Operational Mode: trunk', but the VLAN brief output does not list Fa0/12 under VLAN 10",show interfaces Fa0/12 status,"[""Change the interface mode to access: interface Fa0/12 \u2192 switchport mode access"", ""Assign the interface to VLAN 10: switchport access vlan 10"", ""Save the changes: exit \u2192 write memory"", ""Verify with: show interfaces Fa0/12 switchport and show vlan brief"", ""Re-test the PC's connectivity and ability to get a DHCP address""]",(none),False,"Low keyword recall (36%): missing ['1q', '802', 'acl', 'cannot', 'communicate', 'correctly', 'fails', 'frames']"
GW-001,"PC1's default gateway is incorrectly configured as 10.10.10.2 instead of the expected 10.10.10.1, which is the IP address of R1's Gi0/0.10 interface",high,"ipconfig output shows 'Default Gateway . . . . . . . . : 10.10.10.2', but R1's configuration shows 'GigabitEthernet0/0.10      10.10.10.1'",show ip route,"[""Correct the default gateway on PC1 to 10.10.10.1"", ""Use the command: ipconfig /release then ipconfig /renew to update the IP configuration on PC1, or manually set the default gateway to 10.10.10.1"", ""Verify connectivity to the server at 10.10.30.5 and other remote networks"", ""Confirm the gateway ping succeeds from PC1""]",(none),True,Keyword recall 71%
GW-002,"The Gi0/0.10 subinterface serving VLAN 10 is administratively down, preventing PCs on VLAN 10 from reaching other VLANs or the internet",high,"show ip interface brief lists 'GigabitEthernet0/0.10      10.10.10.1      YES manual administratively down down'. The detailed interface output confirms 'GigabitEthernet0/0.10 is administratively down, line protocol is down'",show running-config interface GigabitEthernet0/0.10,"[""Enter interface configuration mode: configure terminal \u2192 interface GigabitEthernet0/0.10"", ""Bring the interface up: no shutdown"", ""Exit and save: end \u2192 write memory"", ""Verify with: show ip interface brief \u2014 confirm Gi0/0.10 status is 'up'"", ""Test connectivity from a VLAN 10 PC to a VLAN 20 IP and an internet IP""]",[interface_down|Medium] GigabitEthernet0/0.10 is administratively down — verify whether shutdown is intentional,True,Keyword recall 41%
GW-003,"The subnet mask configured on the VLAN 20 gateway (R1 Gi0/0.20) is incorrect, causing PCs with IPs above 10.10.20.15 to be on a different subnet and unable to reach the gateway",high,"show running-config interface GigabitEthernet0/0.20 shows 'ip address 10.10.20.1 255.255.255.240', which is a /28 subnet mask, limiting the subnet to addresses 10.10.20.1-10.10.20.14",show ip route,"[""Change the subnet mask on R1 Gi0/0.20 to match the /24 subnet used by the PCs: interface GigabitEthernet0/0.20 \u2192 ip address 10.10.20.1 255.255.255.0"", ""Verify the change: show running-config interface GigabitEthernet0/0.20"", ""Test connectivity from PCs above 10.10.20.15 to the gateway 10.10.20.1""]",(none),True,Keyword recall 46%
GW-004,The SVI for VLAN 30 has an incorrect IP address (10.10.30.2) which does not match the expected gateway IP (10.10.30.1) for PCs in VLAN 30,high,show ip interface brief lists 'Vlan30                     10.10.30.2' which does not match the expected gateway IP of 10.10.30.1 for VLAN 30,show running-config | section vlan 30,"[""Change the IP address of the VLAN 30 SVI to 10.10.30.1: interface Vlan30 \u2192 ip address 10.10.30.1 255.255.255.0"", ""Save the configuration: write memory"", ""Verify with: show ip interface brief \u2014 confirm the Vlan30 IP is now 10.10.30.1"", ""Test connectivity from a PC in VLAN 30 to the gateway and a remote network""]",(none),True,Keyword recall 67%
GW-005,"IP routing is disabled on MLS1, preventing it from routing traffic between VLANs 10 and 20",high,"show running-config output includes 'no ip routing', which explicitly disables IP routing on MLS1. This is further supported by the lack of any routing protocol configurations or dynamic routes in the 'show ip route' output.",show ip routing protocol,"[""Enable IP routing: configure terminal \u2192 ip routing"", ""Verify with: show running-config | include ip routing"", ""Confirm routing is working: show ip route"", ""Test inter-VLAN connectivity again""]",(none),False,"Low keyword recall (14%): missing ['30', 'both', 'cannot', 'command', 'confirms', 'enabled', 'even', 'failure']"
DHCP-001,"DHCP pool for VLAN10-POOL is exhausted, with all 30 available addresses leased, causing new devices to receive APIPA addresses and preventing existing devices from renewing their leases",high,"show ip dhcp pool indicates 'Leased addresses: 30' out of 'Total addresses: 30', and show ip dhcp binding lists 30 active leases. The DHCP server statistics show 15 DHCPNAK messages sent, indicating the server is rejecting new requests due to lack of available addresses",show ip dhcp pool VLAN10-POOL detail,"[""Increase the DHCP pool size by reconfiguring the network statement to use a larger subnet, e.g., /26 or /25, to provide more addresses"", ""Alternatively, consider implementing a more efficient IP addressing scheme or using a separate VLAN for devices that do not require access to the current VLAN 10"", ""Update the DHCP pool configuration: ip dhcp pool VLAN10-POOL \u2192 network 10.10.10.0 255.255.255.192 (or a larger subnet)"", ""Verify the updated pool configuration: show ip dhcp pool VLAN10-POOL"", ""Restart the DHCP service or clear the bindings to force renewal: clear ip dhcp binding *""]",(none),True,Keyword recall 42%
DHCP-002,"The DHCP pool VLAN10-POOL is configured with the wrong subnet (10.10.20.0/24) instead of the intended VLAN 10 subnet (10.10.10.0/24), causing PCs to receive incorrect IP addresses",high,"show ip dhcp pool output lists '10.10.20.1       - 10.10.20.254' as the IP address range for VLAN10-POOL, and show running-config | section dhcp confirms 'network 10.10.20.0 255.255.255.0' is set for the pool",show ip dhcp binding,"[""Update the DHCP pool network to match the VLAN 10 subnet: ip dhcp pool VLAN10-POOL \u2192 network 10.10.10.0 255.255.255.0"", ""Clear existing leases: clear ip dhcp binding *"", ""Have affected PCs release and renew their DHCP lease (ipconfig /release then ipconfig /renew)"", ""Verify with: show ip dhcp pool \u2014 confirm the correct subnet (10.10.10.0/24) is now in use""]",[gateway_mismatch|High] DHCP pool VLAN10-POOL: default-router 10.10.10.1 is outside network 10.10.20.0/255.255.255.0,True,Keyword recall 67%; DISAGREE: rule_checker flagged 'gateway_mismatch' but AI may not address it
DHCP-003,"Missing ip helper-address on MLS1's VLAN 40 SVI, preventing DHCP requests from VLAN 40 PCs from being forwarded to R1",high,"MLS1's show running-config for interface Vlan40 does not include an 'ip helper-address' statement, unlike Vlan10 which has 'ip helper-address 10.10.10.1'. This suggests that DHCP requests from VLAN 40 are not being relayed to R1.",show ip dhcp binding,"[""Add ip helper-address to MLS1's VLAN 40 SVI: interface Vlan40 \u2192 ip helper-address 10.10.10.1"", ""Save the configuration: write memory"", ""Verify with: show running-config interface Vlan40 | include helper"", ""Have a VLAN 40 PC release and renew its DHCP lease to test""]",(none),True,Keyword recall 44%
